Issue Type,Custom field (Patch Info),Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,HBASE-4150,12515879,Potentially too many connections may be opened if ThreadLocalPool or RoundRobinPool is used,karthick,yuzhihong@gmail.com,Major,Closed,Fixed,31/Jul/11 21:35,20/Nov/15 11:52,
Bug,,HIVE-2326,12515857,Turn off bitmap indexing when map-side aggregation is turned off,salbiz,salbiz,Major,Closed,Fixed,31/Jul/11 00:20,16/Dec/11 23:56,
Bug,,CASSANDRA-2972,12515826,nodetool netstats progress does not update on receiving side,yukim,wmeler,Low,Resolved,Fixed,30/Jul/11 03:42,16/Apr/19 09:32,
Bug,,HBASE-4149,12515824,Javadoc for Result.getRow is confusing to new users.,dmeil,eclark,Trivial,Resolved,Fixed,30/Jul/11 03:07,03/Aug/11 14:45,
Bug,,AMQ-3427,12515816,Activemq-trunk does not compile with JDK7,dejanb,areese,Minor,Closed,Fixed,29/Jul/11 22:46,05/Oct/11 22:28,
Bug,,HBASE-4148,12515804,HFileOutputFormat doesn't fill in TIMERANGE_KEY metadata,jmhsieh,tlipcon,Major,Closed,Fixed,29/Jul/11 19:59,20/Nov/15 11:55,
Bug,,MAPREDUCE-2756,12515802,JobControl can drop jobs if an error occurs,revans2,revans2,Minor,Closed,Fixed,29/Jul/11 19:43,15/Nov/11 00:48,
Bug,,MAPREDUCE-2754,12515799,MR-279: AM logs are incorrectly going to stderr and error messages going incorrectly to stdout,raviteja,rramya,Blocker,Closed,Fixed,29/Jul/11 19:29,15/Nov/11 00:48,
Bug,,MAPREDUCE-2753,12515794,Generated POMs hardcode dependency on hadoop-common version 0.22.0-SNAPSHOT,jrottinghuis,jrottinghuis,Major,Closed,Fixed,29/Jul/11 17:37,12/Dec/11 06:18,
Bug,,MAPREDUCE-2752,12515793,Build does not pass along properties to contrib builds,jrottinghuis,jrottinghuis,Minor,Resolved,Fixed,29/Jul/11 16:59,22/Aug/11 18:35,
Bug,,ZOOKEEPER-1140,12515792,server shutdown is not stopping threads,lakshman,phunt,Blocker,Closed,Fixed,29/Jul/11 16:49,23/Nov/11 19:22,
Bug,,GROOVY-4953,12818100,NPE possibly related to PojoWrapper,blackdrag,brownj,Major,Closed,Fixed,29/Jul/11 15:59,29/Aug/11 14:05,
Bug,,CAMEL-4283,12515781,dump as xml fails if message body is already xml,davsclaus,davsclaus,Minor,Resolved,Fixed,29/Jul/11 14:43,19/Sep/11 18:09,
Bug,,AMQ-3426,12515771,AbstractRegion.java has incorrect null check in contructor,tabish,tabish,Trivial,Resolved,Fixed,29/Jul/11 12:57,20/Sep/11 10:42,
Bug,,MAPREDUCE-2751,12515769,[MR-279] Lot of local files left on NM after the app finish.,sseth,vinodkv,Blocker,Closed,Fixed,29/Jul/11 12:34,15/Nov/11 00:49,
Bug,,CASSANDRA-2968,12515766,AssertionError during compaction of CF with counter columns,slebresne,tarasp,Normal,Resolved,Fixed,29/Jul/11 12:00,16/Apr/19 09:32,
Bug,,MAPREDUCE-2749,12515740,[MR-279] NM registers with RM even before it starts various servers,tgraves,vinodkv,Major,Closed,Fixed,29/Jul/11 06:35,15/Nov/11 00:49,
Bug,,HDFS-2214,12515717,Generated POMs hardcode dependency on hadoop-common version 0.22.0-SNAPSHOT,jrottinghuis,jrottinghuis,Major,Resolved,Fixed,28/Jul/11 23:00,22/Aug/11 22:31,
Bug,,HIVE-2322,12515705,Add ColumnarSerDe to the list of native SerDes,sohanjain,sohanjain,Major,Closed,Fixed,28/Jul/11 21:01,16/Dec/11 23:56,
Bug,,MAPREDUCE-2740,12515701,MultipleOutputs in new API creates needless TaskAttemptContexts,tlipcon,tlipcon,Major,Closed,Fixed,28/Jul/11 20:39,15/Nov/11 00:48,
Bug,,GROOVY-4952,12818101,VerifyError - Virtual method call from a static context,blackdrag,jason@bobberinteractive.com,Major,Closed,Fixed,28/Jul/11 19:42,29/Aug/11 14:05,
Bug,,GROOVY-4951,12818116,VerifyError - Expecting to find integer on stack,blackdrag,jason@bobberinteractive.com,Major,Closed,Fixed,28/Jul/11 19:32,05/Sep/11 05:03,
Bug,,AMQ-3422,12515663,BitArray serialization,dejanb,dejanb,Minor,Resolved,Fixed,28/Jul/11 14:11,02/May/13 02:29,
Bug,,CAMEL-4276,12515644,camel-cxf OSGi bundle uses an incorrect CXF version range,jbonofre,jbonofre,Major,Closed,Fixed,28/Jul/11 13:17,25/Oct/11 11:35,
Bug,,CASSANDRA-2964,12515619,IndexRangeSliceQuery results include index column even though it is not in SliceRange,jbellis,rjtg,Normal,Resolved,Fixed,28/Jul/11 09:19,16/Apr/19 09:32,
Bug,,HIVE-2319,12515608,Calling alter_table after changing partition comment throws an exception,sohanjain,sohanjain,Major,Closed,Fixed,28/Jul/11 06:23,16/Dec/11 23:57,
Bug,,MAPREDUCE-2739,12515593,MR-279: Update installation docs (remove YarnClientFactory),bowang,ahmed.radwan,Minor,Closed,Fixed,28/Jul/11 00:18,11/Oct/12 17:48,
Bug,,HDFS-2213,12515592,DataNode gets stuck while shutting down minicluster,,tlipcon,Major,Resolved,Fixed,28/Jul/11 00:15,10/Mar/15 01:51,
Bug,,ZOOKEEPER-1139,12515582,"jenkins is reporting two warnings, fix these",phunt,phunt,Minor,Closed,Fixed,27/Jul/11 21:42,23/Nov/11 19:22,
Bug,,HDFS-2211,12515574,Build does not pass along properties to contrib builds,jrottinghuis,jrottinghuis,Blocker,Closed,Fixed,27/Jul/11 20:50,12/Dec/11 06:19,
Bug,,ZOOKEEPER-1138,12515570,release audit failing for a number of new files,phunt,phunt,Blocker,Closed,Fixed,27/Jul/11 20:04,23/Nov/11 19:22,
Bug,,CASSANDRA-2960,12515563,replication_factor > 1 always causes cassandra to return null,jbellis,stevecorona,Low,Resolved,Fixed,27/Jul/11 19:37,16/Apr/19 09:32,
Bug,,MAPREDUCE-2738,12515562,Missing cluster level stats on the RM UI,revans2,rramya,Blocker,Closed,Fixed,27/Jul/11 19:34,16/Mar/15 17:57,
Bug,,MAPREDUCE-2737,12515558,Update the progress of jobs on client side,sseth,rramya,Major,Closed,Fixed,27/Jul/11 18:42,15/Nov/11 00:48,
Bug,,CASSANDRA-2959,12515557,long-test fails to build,,mallen,Low,Resolved,Fixed,27/Jul/11 18:30,16/Apr/19 09:32,
Bug,,CASSANDRA-2958,12515554,Flush memtables on shutdown when durable writes are disabled,jbellis,electrum,Normal,Resolved,Fixed,27/Jul/11 17:26,16/Apr/19 09:32,
Bug,,HIVE-2315,12515548,DatabaseMetadata.getColumns() does not return partition column names for a table,phunt,mgk.424@gmail.com,Critical,Closed,Fixed,27/Jul/11 16:46,16/Dec/11 23:56,
Bug,,CASSANDRA-2957,12515546,JDBC Unit test failed to run due to spurious character in text and bad YAML entry,ardot,ardot,Low,Resolved,Fixed,27/Jul/11 16:08,16/Apr/19 09:32,
