Issue Type,Custom field (Patch Info),Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,HBASE-20666,13163297,Unsuccessful table creation leaves entry in hbase:rsgroup table,xucang,gsbiju,Minor,Resolved,Fixed,31/May/18 22:03,10/Feb/19 06:35,
Bug,,SPARK-24446,13163287,Library path with special characters breaks Spark on YARN,vanzin,vanzin,Minor,Resolved,Fixed,31/May/18 21:22,17/May/20 18:14,
Bug,,HIVE-19755,13163279,insertsel_fail.q.out needs to be updated on branch-3,vgarg,vgarg,Major,Closed,Fixed,31/May/18 20:48,31/Jul/18 01:33,
Bug,,HIVE-19754,13163272,vector_decimal_2 failing on branch-3,vgarg,vgarg,Major,Closed,Fixed,31/May/18 20:35,31/Jul/18 01:32,
Bug,,HIVE-19753,13163261,Strict managed tables mode in Hive,jdere,jdere,Major,Closed,Fixed,31/May/18 20:05,31/Jul/18 01:33,
Bug,,HIVE-19750,13163253,Initialize NEXT_WRITE_ID. NWI_NEXT on converting an existing table to full acid,ekoifman,ekoifman,Critical,Closed,Fixed,31/May/18 19:29,31/Jul/18 01:33,
Bug,,HIVE-19749,13163246,Acid V1 to V2 upgrade,ekoifman,ekoifman,Critical,Resolved,Fixed,31/May/18 18:51,11/Aug/18 18:07,
Bug,,KAFKA-6975,13163239,AdminClient.deleteRecords() may cause replicas unable to fetch from beginning,apovzner,apovzner,Blocker,Resolved,Fixed,31/May/18 18:35,17/Jun/18 00:52,
Bug,,MAPREDUCE-7101,13163232,Add config parameter to allow JHS to alway scan user dir irrespective of modTime,tmarquardt,leftnoteasy,Critical,Resolved,Fixed,31/May/18 18:15,15/Jun/18 20:23,
Bug,,CAMEL-12551,13163201,Camel does not have logic that checks that it should only retry when its a new/changed file,davsclaus,RedaBalkouch,Major,Resolved,Fixed,31/May/18 16:54,05/Jun/18 12:09,
Bug,,HBASE-20664,13163199,Variable shared across multiple threads,elserj,elserj,Major,Resolved,Fixed,31/May/18 16:52,01/Feb/19 20:06,
Bug,,IGNITE-8673,13163191,Reconcile isClient* methods,EdShangGG,EdShangGG,Critical,Resolved,Fixed,31/May/18 16:02,20/Aug/18 13:16,
Bug,,MESOS-8970,13163175,Tests relying on metrics segfault on some Linux distros.,bennoe,alexr,Blocker,Resolved,Fixed,31/May/18 14:58,31/May/18 17:23,
Bug,,CAMEL-12550,13163172,Camel-Twilio: Karaf feature is not working,acosentino,acosentino,Major,Resolved,Fixed,31/May/18 14:31,31/May/18 14:44,
Bug,,FLINK-9482,13163170,Not applicable functions for TIME,bioker,bioker,Minor,Closed,Fixed,31/May/18 14:20,08/Jun/18 01:00,
Bug,,IGNITE-8661,13163137,WALItreater is not stopped if can not deserialize record ,DmitriyGovorukhin,DmitriyGovorukhin,Major,Resolved,Fixed,31/May/18 13:13,28/Jun/18 14:56,
