Issue Type,Custom field (Patch Info),Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,,HDFS-11476,13047132,Fix NPE in FsDatasetImpl#checkAndUpdate,xiaobingo,xiaobingo,Major,Resolved,Fixed,28/Feb/17 23:35,24/Apr/18 20:46,
Bug,,SPARK-19775,13047122,Remove an obsolete `partitionBy().insertInto()` test case,dongjoon,dongjoon,Trivial,Resolved,Fixed,28/Feb/17 22:46,01/Mar/17 23:46,
Bug,,SPARK-19774,13047109,StreamExecution should call stop() on sources when a stream fails,brkyvz,brkyvz,Major,Resolved,Fixed,28/Feb/17 22:02,03/Mar/17 18:35,
Bug,,MAPREDUCE-6852,13047086,Job#updateStatus() failed with NPE due to race condition,junping_du,junping_du,Major,Resolved,Fixed,28/Feb/17 20:42,31/Jan/19 13:19,
Bug,,HIVE-16061,13047079,"When hive.async.log.enabled is set to true, some output is not printed to the beeline console",aihuaxu,aihuaxu,Major,Closed,Fixed,28/Feb/17 20:01,23/May/18 00:00,
Bug,,HIVE-16060,13047078,GenericUDTFJSONTuple's json cache could overgrow beyond its limit,csun,csun,Major,Resolved,Fixed,28/Feb/17 19:59,01/Mar/17 17:35,
Bug,,HDFS-11472,13047060,Fix inconsistent replica size after a data pipeline failure,xkrogen,weichiu,Critical,Resolved,Fixed,28/Feb/17 18:39,02/Oct/19 17:15,
Bug,,IGNITE-4761,13047026,ServiceProcessor hangs while stopping on unstable topology.,amashenkov,amashenkov,Critical,Resolved,Fixed,28/Feb/17 17:02,22/Mar/17 14:09,
Bug,,KAFKA-4814,13047024,ZookeeperLeaderElector not respecting zookeeper.set.acl,rsivaram,sslavic,Major,Resolved,Fixed,28/Feb/17 16:59,20/Apr/17 10:10,
Bug,,CAMEL-10912,13047011,camel-sjms - Session object created from connection that gets closed,davsclaus,ryeats,Major,Resolved,Fixed,28/Feb/17 16:14,14/Aug/18 15:03,
Bug,,FLINK-5937,13046995,Add documentation about the task lifecycle.,kkl0u,kkl0u,Major,Closed,Fixed,28/Feb/17 15:15,03/Mar/17 12:44,
Bug,,HIVE-16057,13046981,SchemaTool ignores --passWord argument if hadoop.security.credential.provider.path is configured,pvary,pvary,Major,Closed,Fixed,28/Feb/17 14:03,22/May/18 23:59,
Bug,,CAMEL-10906,13046971,http components: not all the options supported by component/endpoints are shown in the documentation,davsclaus,lb,Major,Resolved,Fixed,28/Feb/17 13:44,01/Mar/17 16:53,
Bug,,SPARK-19766,13046963,INNER JOIN on constant alias columns return incorrect results,stanzhai,stanzhai,Critical,Resolved,Fixed,28/Feb/17 12:58,02/Mar/17 16:17,
Bug,,FLINK-5934,13046945,Scheduler in ExecutionGraph null if failure happens in ExecutionGraph.restoreLatestCheckpointedState,trohrmann,trohrmann,Major,Closed,Fixed,28/Feb/17 11:21,02/Mar/17 13:03,
Bug,,FLINK-5933,13046918,Allow Evictor for merging windows,aljoscha,aljoscha,Major,Closed,Fixed,28/Feb/17 09:51,04/May/17 10:45,
Bug,,FLINK-5932,13046909,Order of legacy vs new state initialization in the AbstractStreamOperator.,kkl0u,kkl0u,Major,Closed,Fixed,28/Feb/17 09:38,17/Mar/17 15:38,
Bug,,SPARK-19765,13046902,UNCACHE TABLE should also un-cache all cached plans that refer to this table,cloud_fan,cloud_fan,Major,Resolved,Fixed,28/Feb/17 09:03,25/Jun/18 17:12,
Bug,,HIVE-16054,13046869,AMReporter should use application token instead of ugi.getCurrentUser,prasanth_j,rajesh.balamohan,Major,Resolved,Fixed,28/Feb/17 05:33,21/Jul/17 18:46,
Bug,,SPARK-19763,13046851,qualified external datasource table location stored in catalog,windpiger,windpiger,Major,Resolved,Fixed,28/Feb/17 03:44,09/Mar/17 09:19,
Bug,,KAFKA-4811,13046844,ReplicaFetchThread may fail to create due to existing metric,huxi_2b,junrao,Major,Resolved,Fixed,28/Feb/17 02:36,15/Mar/17 05:42,
Bug,,HIVE-16053,13046841,Remove newRatio from llap JAVA_OPTS_BASE,sseth,sseth,Major,Closed,Fixed,28/Feb/17 02:27,22/May/18 23:59,
Bug,,SPARK-19761,13046839,create InMemoryFileIndex with empty rootPaths when set PARALLEL_PARTITION_DISCOVERY_THRESHOLD to zero,,windpiger,Major,Resolved,Fixed,28/Feb/17 02:20,12/Nov/18 06:33,
Bug,,MESOS-7188,13046832,Add documentation for Debug APIs to Operator API doc,klueska,klueska,Major,Resolved,Fixed,28/Feb/17 01:31,28/Feb/17 21:35,
Bug,,SPARK-19758,13046825,Casting string to timestamp in inline table definition fails with AnalysisException,viirya,joshrosen,Blocker,Resolved,Fixed,28/Feb/17 01:04,03/Mar/17 15:15,
Bug,,HBASE-17705,13046814,Procedure execution must fail fast if procedure is not registered,vrodionov,vrodionov,Blocker,Resolved,Fixed,28/Feb/17 00:17,21/Mar/18 22:10,
Bug,,KAFKA-4810,13046809,SchemaBuilder should be more lax about checking that fields are unset if they are being set to the same value,pshk4r,ewencp,Major,Resolved,Fixed,27/Feb/17 23:52,04/Apr/17 21:59,
Bug,,MESOS-7186,13046764,Metrics about used/allocated shared resources are incorrect accounted.,anindya.sinha,xujyan,Major,Resolved,Fixed,27/Feb/17 21:19,03/May/17 09:09,
Bug,,CASSANDRA-13278,13046760,Update build.xml and build.properties.default maven repos,snazy,mshuler,Low,Resolved,Fixed,27/Feb/17 21:05,15/May/20 08:04,
Bug,,SPARK-19753,13046754,Remove all shuffle files on a host in case of slave lost of fetch failure,sitalkedia@gmail.com,sitalkedia@gmail.com,Major,Resolved,Fixed,27/Feb/17 20:31,17/May/20 17:46,
Bug,,KAFKA-4809,13046738,docker/run_tests.sh should set up /opt/kafka-dev to be the source directory,cmccabe,cmccabe,Major,Resolved,Fixed,27/Feb/17 20:01,28/Feb/17 20:24,
Bug,,HIVE-16050,13046723,Regression: Union of null with non-null ,gopalv,gopalv,Major,Closed,Fixed,27/Feb/17 19:17,25/Jul/17 20:05,
Bug,,CASSANDRA-13277,13046699,Duplicate results with secondary index on static column,adelapena,rha,Normal,Resolved,Fixed,27/Feb/17 18:06,15/May/20 07:59,
Bug,,CASSANDRA-13276,13046696,Regression on CASSANDRA-11416: can't load snapshots of tables with dropped columns,adelapena,matt.kopit,Normal,Resolved,Fixed,27/Feb/17 17:46,15/May/20 07:59,
Bug,,GROOVY-8100,13046677,MarkupBuilder cant yield before first tag,daniel_sun,eddelplus,Major,Closed,Fixed,27/Feb/17 16:26,23/Jul/20 14:16,
Bug,,SPARK-19751,13046668,Create Data frame API fails with a self referencing bean,maropu,avinashmeda,Minor,Resolved,Fixed,27/Feb/17 15:42,16/Mar/17 00:51,
